Time(s),CH3V,CH4V
-1.080000e-02,-6.213334e-01,1.029333e-01
-1.075000e-02,-6.168000e-01,1.157333e-01
-1.070000e-02,-6.853333e-01,1.157333e-01
-1.065000e-02,-6.190667e-01,1.373333e-01
-1.060000e-02,-6.030667e-01,1.157333e-01
-1.055000e-02,-6.145334e-01,1.114667e-01
-1.050000e-02,-6.236000e-01,1.285333e-01
-1.045000e-02,-5.893334e-01,1.242667e-01
-1.040000e-02,-6.350667e-01,1.200000e-01
-1.035000e-02,-5.824000e-01,1.157333e-01
-1.030000e-02,-5.893334e-01,1.242667e-01
-1.025000e-02,-6.418667e-01,1.373333e-01
-1.020000e-02,-6.396000e-01,1.157333e-01
-1.015000e-02,-6.008000e-01,1.114667e-01
-1.010000e-02,-6.190667e-01,1.328000e-01
-1.005000e-02,-6.373333e-01,1.200000e-01
-1.000000e-02,-5.848000e-01,1.373333e-01
-9.950000e-03,-6.418667e-01,1.072000e-01
-9.900000e-03,-6.602667e-01,1.242667e-01
-9.850000e-03,-6.350667e-01,1.242667e-01
-9.800000e-03,-6.465334e-01,1.285333e-01
-9.750000e-03,-6.213334e-01,1.242667e-01
-9.700000e-03,-5.961334e-01,1.114667e-01
-9.650000e-03,-7.128000e-01,1.114667e-01
-9.600000e-03,-6.670667e-01,1.029333e-01
-9.550000e-03,-6.648000e-01,1.157333e-01
-9.500000e-03,-6.740000e-01,1.242667e-01
-9.450000e-03,-6.305333e-01,1.157333e-01
-9.400000e-03,-5.870667e-01,1.242667e-01
-9.350000e-03,-5.686667e-01,1.328000e-01
-9.300000e-03,-6.533334e-01,1.114667e-01
-9.250000e-03,-5.733333e-01,1.285333e-01
-9.200000e-03,-5.824000e-01,1.200000e-01
-9.150000e-03,-6.808000e-01,1.200000e-01
-9.100000e-03,-6.098667e-01,1.029333e-01
-9.050000e-03,-6.602667e-01,1.416000e-01
-9.000000e-03,-6.258667e-01,1.242667e-01
-8.950000e-03,-6.145334e-01,1.285333e-01
-8.900000e-03,-5.961334e-01,1.285333e-01
-8.850000e-03,-5.778667e-01,1.114667e-01
